Species,Year,Population
N_4kg,2113,106.3026163032888
N_4kg,2114,106.79385846465175
N_4kg,2115,107.29749176430866
N_4kg,2116,107.81383318002973
N_4kg,2117,108.34314807320018
N_4kg,2118,108.88557524658238
N_4kg,2119,109.44173069583002
N_4kg,2120,110.01184129339075
N_4kg,2121,110.59594995370831
N_4kg,2122,111.19446964178447
N_4kg,2123,111.80760424608043
N_4kg,2125,112.43570946914834
N_6kg,2025,72.44742220370709
N_6kg,2026,72.20312372482279
N_6kg,2027,71.93574260168315
N_6kg,2028,71.7613426834309
N_6kg,2029,71.57475616561055
N_6kg,2030,71.29849982194281
N_6kg,2031,70.9180724798425
N_6kg,2032,70.46601006855695
N_6kg,2033,69.99255664503156
N_6kg,2034,69.5438834559547
N_6kg,2035,69.15123523892349
N_6kg,2036,68.82956765574026
N_6kg,2037,68.58108515724842
N_6kg,2038,68.39976498795102
N_6kg,2039,68.27549569905091
N_6kg,2040,68.19717304140504
N_6kg,2041,68.15455177007823
N_6kg,2042,68.13868756033595
N_6kg,2043,68.14250358398009
N_6kg,2044,68.16084983804723
N_6kg,2045,68.18984273165864
N_6kg,2046,68.22673609953587
N_6kg,2047,68.26957668022521
N_6kg,2048,68.31684585397421
N_6kg,2049,68.3676446041096
N_6kg,2050,68.42129455054895
N_6kg,2051,68.4773345675256
N_6kg,2052,68.53537339555066
N_6kg,2053,68.59517637463854
N_6kg,2054,68.65662100051252
N_6kg,2055,68.71952775500624
N_6kg,2056,68.78391707158612
N_6kg,2057,68.84970934493495
N_6kg,2058,68.91673542754447
N_6kg,2059,68.98501959562738
N_6kg,2060,69.05466324046795
N_6kg,2061,69.12572870084482
N_6kg,2062,69.19816101237167
N_6kg,2063,69.2719984505519
N_6kg,2064,69.34737651313209
N_6kg,2065,69.42431611440696
N_6kg,2066,69.50281766852947
N_6kg,2067,69.58292735046841
N_6kg,2068,69.66459875495445
N_6kg,2069,69.74793446523745
N_6kg,2070,69.83299401804759
N_6kg,2071,69.91971379739242
N_6kg,2072,70.00815165831898
N_6kg,2073,70.09839017634434
N_6kg,2074,70.19038527018022
N_6kg,2075,70.28413684994399
N_6kg,2076,70.37983254326655
N_6kg,2077,70.47747377561483
N_6kg,2078,70.57714475617539
N_6kg,2079,70.67882328888254
N_6kg,2080,70.78265565105133
N_6kg,2081,70.8886277776404
N_6kg,2082,70.9967550637313
N_6kg,2083,71.1072397244283
N_6kg,2084,71.22009168617762
N_6kg,2085,71.33528666708844
N_6kg,2086,71.45285814953212
N_6kg,2087,71.57305404233307
N_6kg,2088,71.69590492923705
N_6kg,2089,71.82138385196835
N_6kg,2090,71.9496243903086
N_6kg,2091,72.08071107655914
N_6kg,2092,72.21477340392768
N_6kg,2093,72.3518220332678
N_6kg,2094,72.4919141718581
N_6kg,2095,72.6351467306066
N_6kg,2096,72.78159749815232
N_6kg,2097,72.93137907876978
N_6kg,2098,73.08461779111822
N_6kg,2099,73.24137551875461
N_6kg,2100,73.4016811844794
N_6kg,2101,73.56566942770345
N_6kg,2102,73.73352764128681
N_6kg,2103,73.90521999158027
N_6kg,2104,74.0808628893052
N_6kg,2105,74.26066438825187
N_6kg,2106,74.44473013301055
N_6kg,2107,74.63317695471144
N_6kg,2108,74.82602113815373
N_6kg,2109,75.02333170493269
N_6kg,2110,75.22530280594904
N_6kg,2111,75.43206703444334
N_6kg,2112,75.64381256862988
N_6kg,2113,75.86050346398011
N_6kg,2114,76.08238226928022
N_6kg,2115,76.3096417331894
N_6kg,2116,76.54233351317743
N_6kg,2117,76.78054538970443
N_6kg,2118,77.02439903376174
N_6kg,2119,77.27416727243521
N_6kg,2120,77.53002389538159
N_6kg,2121,77.79199719921037
N_6kg,2122,78.06031998571511
N_6kg,2123,78.33509216701013
N_6kg,2125,78.61647974285579
S,2025,7431.594732481393
S,2026,7801.7707205872875
S,2027,8127.3486330487785
S,2028,8414.443193347659
S,2029,8667.433917910634
S,2030,8890.445806386311
S,2031,9086.978074834546
S,2032,9260.222894859511
S,2033,9412.893863762767
S,2034,9547.479603556263
S,2035,9666.077512336768
S,2036,9770.630765815737
S,2037,9862.76113614506
S,2038,9943.978934372552
S,2039,10015.575627768152
S,2040,10078.557546460428
S,2041,10134.820491931618
S,2042,10183.640806891293
S,2043,10226.832606464703
S,2044,10264.840081977145
S,2045,10298.373292619652
S,2046,10327.902102874737
S,2047,10353.952888036509
S,2048,10376.890007656968
S,2049,10397.135994932567
S,2050,10414.939426197636
S,2051,10430.675914707212
S,2052,10444.509906069108
S,2053,10456.714352431089
S,2054,10467.452933077651
S,2055,10476.9219359458
S,2056,10485.299022115318
S,2057,10492.59112454885
S,2058,10499.742705165643
S,2059,10505.271166539807
S,2060,10510.309367658121
S,2061,10514.691231343371
S,2062,10518.607575254106
S,2063,10522.012404774972
S,2064,10525.024182394818
S,2065,10527.67827779398
S,2066,10530.03017490139
S,2067,10532.085057183767
S,2068,10533.91947287394
S,2069,10535.487872623524
S,2070,10536.923831056738
S,2071,10538.186927057044
S,2072,10539.291722768814
S,2073,10540.26644214411
S,2074,10541.015973127824
S,2075,10542.41580803665
S,2076,10542.8974242198
S,2077,10543.472027426107
S,2078,10543.90490744141
S,2079,10544.337018243437
S,2080,10544.695363218443
S,2081,10545.034466878536
S,2082,10545.292142610215
S,2083,10545.501453567367
S,2084,10545.733029442177
S,2085,10545.95058078629
S,2086,10546.123482276225
S,2087,10546.294186467756
S,2088,10546.459727406445
S,2089,10546.469553527986
S,2090,10547.221351861348
S,2091,10547.127593291867
S,2092,10547.1934870268
S,2093,10547.197798180398
S,2094,10547.254759770385
S,2095,10547.260088877345
S,2096,10547.290881511011
S,2097,10547.306936944009
S,2098,10547.377715348743
S,2099,10547.331907381827
S,2100,10547.350237611416
S,2101,10547.34772287391
S,2102,10547.340588861965
S,2103,10547.333152416832
S,2104,10547.363221842952
S,2105,10547.397788628043
S,2106,10547.307186999391
S,2107,10547.966665997174
S,2108,10547.759498119745
S,2109,10547.78562721904
S,2110,10547.743109829351
S,2111,10547.723965992234
S,2112,10547.689811599876
S,2113,10547.677625485901
S,2114,10547.610105468115
S,2115,10547.580908064696
